solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65
vinegar 0.5g,4.84,4.43,4.15,4.11,4.09,4.09,4.09,4.08,4.08,4.08,4.08,4.08,,
vinegar 1.5g,6.96,6.9,6.88,6.88,6.87,6.85,6.83,6.81,6.78,6.76,6.73,6.69,,
citric acid 0.05g,86.1,67.3,63.3,62.5,62.4,62.3,62.2,62.1,61.8,61.5,61.2,,,
citric acid 0.025g,36.54,34.18,33.52,33.26,33.11,32.94,32.83,32.74,32.69,32.63,32.58,32.54,32.51,
sodium chloride 0.5g,69,70,64,54,50,48,48,48,47,47,47,47,,
sodium chloride 1.0g,140,128,113,106,99,94,89,85,82,82,80,,,
sodium chloride 1.5g,48,47,46,45,44,43,43,42,41,41,41,41,40,
sodium chloride 2.0g,83,124,107,109,88,96,83,80,76,72,69,65,,
sodium chloride 2.5g,132,130,128,127,126,126,124,106,96,84,79,63,53,
sodium bicarbonate 0.5g,22.65,21.56,22.12,21.26,19.24,19.27,18.95,18.77,18.58,18.45,18.32,18.17,,
sodium bicarbonate 1.0g,35.51,34.63,33.37,31.73,29.66,27.97,26.02,24.01,23.27,22.12,21.49,21.55,21.26,21.7
sodium bicarbonate 1.5g,56,52,51,51,50,49,49,49,48,48,47,47,,
sodium bicarbonate 2.0g,61.9,56.7,54.4,53.5,52.8,51.7,50.4,49.8,48.7,47.6,47.2,46.7,,
sodium bicarbonate 2.5g,66,66,66,66,66,65,65,65,65,64,64,64,,
copper sulfate 0.5g,21,21,21,21,21,20,21,20,21,21,20,20,20,
copper sulfate 1.0g,39,38,38,37,35,35,35,36,36,36,36,36,37,
copper sulfate 1.5g,53,52,51,51,49,50,49,49,49,49,49,49,,
copper sulfate 2.0g,63,66,66,66,66,66,66,66,66,66,66,,,
copper sulfate 2.5g,82,82,82,82,82,82,82,82,82,82,82,82,,
sodium sulfate 0.5g,19.57,22.56,22.69,22.76,22.83,22.9,22.92,22.96,22.98,23,22.99,23.01,23.01,
sodium sulfate 1.0g,37.69,36.46,36.38,36.34,36.29,36.2,36.15,36.06,35.93,35.84,35.75,35.72,35.65,
sodium sulfate 1.5g,56,54.8,54.4,54.2,54,53.8,53.7,53.6,53.5,53.5,53.4,53.3,53.3,
sodium sulfate 2.0g,75.3,75.1,75.1,74.9,74.7,74.5,74.3,74.2,74,73.9,73.7,73.7,73.5,
sodium sulfate 2.5g,60.4,70.9,70.6,70.5,70.4,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,
