solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60
sodium sulfate 0.5g,19.57,22.56,22.69,22.76,22.83,22.9,22.92,22.96,22.98,23,22.99,23.01,23.01
sodium sulfate 1.0g,37.69,36.46,36.38,36.34,36.29,36.2,36.15,36.06,35.93,35.84,35.75,35.72,35.65
sodium sulfate 1.5g,56,54.8,54.4,54.2,54,53.8,53.7,53.6,53.5,53.5,53.4,53.3,53.3
sodium sulfate 2.0g,75.3,75.1,75.1,74.9,74.7,74.5,74.3,74.2,74,73.9,73.7,73.7,73.5
sodium sulfate 2.5g,60.4,70.9,70.6,70.5,70.4,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4
sodium nitrate 0.5g,22.97,22.12,21.8,21.72,21.69,21.68,21.67,21.68,21.68,21.69,21.51,21.85,21.74
sodium nitrate 1.0g,41.7,39.8,39.2,39,39,39,39,39.1,39.2,39.3,39.3,39.5,39.5
sodium nitrate 1.5g,52.7,50.3,49.5,49.4,49.5,49.6,49.7,49.9,50,50.1,50.2,50.3,50.4
sodium nitrate 2.0g,77.2,74.4,74,73.9,74,74.1,74.3,74.6,74.8,75,75.3,75.5,75.6
sodium nitrate 2.5g,82.1,79.3,78.5,78.3,78.3,78.6,78.8,79,79.2,79.4,79.6,79.8,80.1
copper sulfate 0.5g,8.15,8.19,8.26,8.32,8.38,8.42,8.48,8.52,8.55,8.58,8.61,8.63,8.66
copper sulfate 1.0g,19.16,17.57,15.77,16.04,16.18,16.32,16.48,16.63,16.75,16.67,16.97,17.06,17.12
copper sulfate 1.5g,28.71,24.52,23.53,24.41,25.05,24.53,23.97,24.39,25.66,24.7,24.86,25.05,25.17
copper sulfate 2.0g,35.01,45,37.9,38,39.4,40.6,41.6,41.7,42.4,43.7,44.6,45,45.8
copper sulfate 2.5g,39.72,38.11,33.75,32.89,33.66,33.29,33.58,33.77,33.99,34.22,34.34,34.75,34.93
potassium sulfate 0.5g,17.84,17.65,17.66,17.64,17.65,17.65,17.66,17.66,17.67,17.69,17.7,17.7,17.71
potassium sulfate 1.0g,35.17,34.78,34.59,34.56,34.54,34.48,34.39,34.35,34.3,34.27,34.27,34.37,34.3
potassium sulfate 1.5g,55.5,54.5,54.2,54.1,54.1,54.1,54,54,53.9,53.9,54,54,54
potassium sulfate 2.0g,72.2,70.8,70.3,70,69.9,69.7,69.6,69.5,69.4,69.2,69.2,69.2,69.2
potassium sulfate 2.5g,86,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.6
vinegar 0.5g,1.66,1.45,1.44,1.44,1.44,1.44,1.43,1.43,1.43,1.43,1.43,1.43,1.43
vinegar 1.0g,2.03,1.9,1.89,1.89,1.88,1.88,1.88,1.87,1.87,1.87,1.87,1.87,1.86
vinegar 1.5g,2.19,2.15,2.15,2.15,2.14,2.14,2.14,2.14,2.14,2.13,2.13,2.13,2.13
vinegar 2.0g,2.81,2.78,2.77,2.77,2.77,2.76,2.76,2.76,2.76,2.75,2.75,2.75,2.75
vinegar 2.5g,3.27,3.22,3.21,3.2,3.19,3.18,3.18,3.17,3.17,3.17,3.17,3.16,3.16
sodium bicarbonate 0.5g,7.72,7.61,7.82,7.86,7.85,8.19,8.86,8.27,8.21,8.16,8.09,8.04,7.98
sodium bicarbonate 1.0g,15.3,14.83,15.18,14.03,13.26,13.13,12.92,12.73,12.52,12.37,12.22,12.07,11.99
sodium bicarbonate 1.5g,20.59,20.89,21.45,21.15,20.08,19.22,18.72,18.77,18.8,17.95,16.88,16.49,16.53
sodium bicarbonate 2.0g,24.17,22.05,21.13,20.85,20.77,20.29,19.87,19.43,19.05,18.89,18.71,18.55,18.32
sodium bicarbonate 2.5g,32.96,31.72,31.27,30.96,30.71,29.88,29.13,28.47,27.99,27.45,26.94,26.3,
