solution type,time_0,time_5,time_10,time_15,time_20,time_25,time_30,time_35,time_40,time_45,time_50,time_55,time_60,time_65
vinegar 0.5g,4.84,4.43,4.15,4.11,4.09,4.09,4.09,4.08,4.08,4.08,4.08,4.08,,
vinegar 1.5g,6.96,6.9,6.88,6.88,6.87,6.85,6.83,6.81,6.78,6.76,6.73,6.69,,
citric acid 0.05g,86.1,67.3,63.3,62.5,62.4,62.3,62.2,62.1,61.8,61.5,61.2,,,
citric acid 0.025g,36.54,34.18,33.52,33.26,33.11,32.94,32.83,32.74,32.69,32.63,32.58,32.54,32.51,
sodium chloride 0.5g,69,70,64,54,50,48,48,48,47,47,47,47,,
sodium chloride 1.0g,140,128,113,106,99,94,89,85,82,82,80,,,
sodium chloride 1.5g,48,47,46,45,44,43,43,42,41,41,41,41,40,
sodium chloride 2.0g,83,124,107,109,88,96,83,80,76,72,69,65,,
sodium chloride 2.5g,132,130,128,127,126,126,124,106,96,84,79,63,53,
sodium bicarbonate 0.5g,22.65,21.56,22.12,21.26,19.24,19.27,18.95,18.77,18.58,18.45,18.32,18.17,,
sodium bicarbonate 1.0g,35.51,34.63,33.37,31.73,29.66,27.97,26.02,24.01,23.27,22.12,21.49,21.55,21.26,21.7
sodium bicarbonate 1.5g,56,52,51,51,50,49,49,49,48,48,47,47,,
sodium bicarbonate 2.0g,61.9,56.7,54.4,53.5,52.8,51.7,50.4,49.8,48.7,47.6,47.2,46.7,,
sodium bicarbonate 2.5g,66,66,66,66,66,65,65,65,65,64,64,64,,
copper sulfate 0.5g,21,21,21,21,21,20,21,20,21,21,20,20,20,
copper sulfate 1.0g,39,38,38,37,35,35,35,36,36,36,36,36,37,
copper sulfate 1.5g,53,52,51,51,49,50,49,49,49,49,49,49,,
copper sulfate 2.0g,63,66,66,66,66,66,66,66,66,66,66,,,
copper sulfate 2.5g,82,82,82,82,82,82,82,82,82,82,82,82,,
sodium sulfate 0.5g,19.57,22.56,22.69,22.76,22.83,22.9,22.92,22.96,22.98,23,22.99,23.01,23.01,
sodium sulfate 1.0g,37.69,36.46,36.38,36.34,36.29,36.2,36.15,36.06,35.93,35.84,35.75,35.72,35.65,
sodium sulfate 1.5g,56,54.8,54.4,54.2,54,53.8,53.7,53.6,53.5,53.5,53.4,53.3,53.3,
sodium sulfate 2.0g,75.3,75.1,75.1,74.9,74.7,74.5,74.3,74.2,74,73.9,73.7,73.7,73.5,
sodium sulfate 2.5g,60.4,70.9,70.6,70.5,70.4,70.3,70.4,70.4,70.4,70.4,70.4,70.4,70.4,
sodium nitrate 0.5g,22.97,22.12,21.8,21.72,21.69,21.68,21.67,21.68,21.68,21.69,21.51,21.85,21.74,
sodium nitrate 1.0g,41.7,39.8,39.2,39,39,39,39,39.1,39.2,39.3,39.3,39.5,39.5,
sodium nitrate 1.5g,52.7,50.3,49.5,49.4,49.5,49.6,49.7,49.9,50,50.1,50.2,50.3,50.4,
sodium nitrate 2.0g,77.2,74.4,74,73.9,74,74.1,74.3,74.6,74.8,75,75.3,75.5,75.6,
sodium nitrate 2.5g,82.1,79.3,78.5,78.3,78.3,78.6,78.8,79,79.2,79.4,79.6,79.8,80.1,
sodium bicarbonate2 0.5g,10.51,10.52,11.14,11.14,11.15,11.17,11.16,11.14,11.09,11.08,11.05,11.01,11,
sodium bicarbonate2 1.0g,22.91,20.48,19.38,18.43,12.72,10.94,10.57,10.29,10.08,9.86,9.65,9.51,9.24,
sodium bicarbonate2 1.5g,12.72,11.44,11.37,11.28,11.4,11.33,11.03,10.68,10.37,10.22,9.97,9.95,9.89,
sodium bicarbonate2 2.0g,25.89,25.1,24.71,23.67,23.29,23.02,22.63,22.4,22.09,21.69,21.31,21.1,20.76,
sodium bicarbonate2 2.5g,34.02,32.36,31.64,30.68,30.46,29.85,29.12,28.59,27.77,27.03,26.46,25.95,25.2,
copper sulfate2 0.5g,8.15,8.19,8.26,8.32,8.38,8.42,8.48,8.52,8.55,8.58,8.61,8.63,8.66,
copper sulfate2 1.0g,19.16,17.57,15.77,16.04,16.18,16.32,16.48,16.63,16.75,16.67,16.97,17.06,17.12,
copper sulfate2 1.5g,28.71,24.52,23.53,24.41,25.05,24.53,23.97,24.39,25.66,24.7,24.86,25.05,25.17,
copper sulfate2 2.0g,35.01,45,37.9,38,39.4,40.6,41.6,41.7,42.4,43.7,44.6,45,45.8,
copper sulfate2 2.5g,39.72,38.11,33.75,32.89,33.66,33.29,33.58,33.77,33.99,34.22,34.34,34.75,34.93,
potassium sulfate 0.5g,17.84,17.65,17.66,17.64,17.65,17.65,17.66,17.66,17.67,17.69,17.7,17.7,17.71,
potassium sulfate 1.0g,35.17,34.78,34.59,34.56,34.54,34.48,34.39,34.35,34.3,34.27,34.27,34.37,34.3,
potassium sulfate 1.5g,55.5,54.5,54.2,54.1,54.1,54.1,54,54,53.9,53.9,54,54,54,
potassium sulfate 2.0g,72.2,70.8,70.3,70,69.9,69.7,69.6,69.5,69.4,69.2,69.2,69.2,69.2,
potassium sulfate 2.5g,86,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.5,85.6,
vinegar2 0.5g,1.66,1.45,1.44,1.44,1.44,1.44,1.43,14.3,1.43,1.43,1.43,1.43,1.43,
vinegar2 1.0g,2.03,1.9,1.89,1.89,1.88,1.88,1.88,1.87,1.87,1.87,1.87,1.87,1.86,
vinegar2 1.5g,2.19,2.15,2.15,2.15,2.14,2.14,2.14,2.14,2.14,2.13,2.13,2.13,2.13,
vinegar2 2.0g,2.81,2.78,2.77,2.77,2.77,2.76,2.76,2.76,2.76,2.75,2.75,2.75,2.75,
vinegar2 2.5g,3.27,3.22,3.21,3.2,3.19,3.18,3.18,3.17,3.17,3.17,3.17,3.16,3.16,
